name,osc1 shape,osc1 fm modulation,osc2 shape,osc2 pitch,osc2 tune,osc2 kbd track,osc mix,osc sync,osc ring modulation,osc pulse width,osc key shift,osc mod env on/off,osc mod env amount,osc mod env attack,osc p.env decay,filter type,filter attack,filter decay,filter sustain,filter release,filter freq,filter resonance,filter amount,filter kbd track,filter distortion,filter velocity switch,amp attack,amp decay,amp sustain,amp release,amp gain,amp velocity sens.,arp. on/off,arp type,arp range,arp beat,arp gate,delay on/off,delay time,delay feedback,delay level,chorus on/off,chorus type,chorus delay time,chorus depth,chorus rate,chorus feedback,chorus level,equalizer tone,equalizer freq.,equalizer level,equalizer Q,play mode type,play mode portament,pitch bend range,wheel lfo1 depth sens.,lfo1 on/off,lfo1 destination,lfo1 type,lfo1 speed,lfo1 depth,lfo2 on/off,lfo2 destination,lfo2 type,lfo2 speed,lfo2 depth
Bass Arp,1,0,1,64,64,1,61,0,0,127,-12,0,64,0,0,1,0,71,0,11,66,0,89,63,0,0,8,0,127,15,60,62,1,1,2,14,109,0,8,40,14,0,4,64,64,50,64,62,64,64,64,64,0,0,12,67,0,2,1,72,1,0,5,1,65,64
Electro Build (use mod wheel),1,0,1,64,64,1,127,0,0,127,0,0,64,0,0,1,0,0,127,11,98,0,63,63,0,0,8,0,127,15,60,62,0,1,0,10,64,0,8,40,14,0,4,64,64,50,64,62,64,64,64,64,1,0,12,90,1,2,0,41,14,0,5,1,65,64
Bellchime,0,68,3,45,65,1,0,0,0,64,21,0,64,0,0,0,0,64,32,64,102,0,63,71,0,0,0,84,0,82,107,64,0,1,0,11,64,0,8,40,20,0,2,64,64,50,64,40,64,64,64,64,0,0,12,74,0,2,1,64,0,0,5,1,64,64
Descending Pad,1,0,4,64,64,1,74,0,0,127,0,0,64,0,0,1,0,78,0,13,63,120,72,127,0,0,78,0,127,65,60,62,0,1,0,10,64,1,12,40,23,0,4,64,64,50,64,62,64,64,64,64,0,0,12,67,0,2,1,72,1,0,5,1,65,64
Dueling Rhythms,1,0,4,64,64,1,127,0,0,127,0,0,64,0,0,1,93,111,0,11,16,48,90,17,54,0,8,0,127,15,60,62,0,1,0,10,64,1,8,40,26,0,4,64,64,50,64,62,64,64,64,64,0,0,12,67,1,3,0,105,92,1,3,0,96,41
WhiteNoise,1,0,4,64,65,1,127,0,0,64,0,0,64,0,0,3,0,64,32,64,65,126,63,127,0,0,18,86,0,88,79,64,0,1,0,11,64,0,8,40,20,0,2,64,64,50,64,40,64,64,64,64,0,0,12,74,0,2,1,64,0,0,5,1,64,64
Supersaw,1,0,1,64,65,1,18,0,0,127,0,0,64,0,0,2,0,64,32,64,0,0,63,0,6,0,0,6,93,6,66,0,0,1,0,11,64,1,9,40,10,0,2,64,64,50,64,40,64,64,64,64,0,0,12,74,0,2,1,64,0,0,5,1,64,64
Falling Into Place,1,0,3,64,64,1,127,0,1,127,0,1,95,0,71,1,0,71,0,69,110,0,63,63,0,0,24,0,127,15,90,56,0,2,0,10,64,0,8,40,14,0,4,64,64,50,64,62,64,64,64,64,0,0,12,67,0,2,1,72,1,0,5,1,65,64
String Machine,1,0,2,64,48,1,67,0,0,42,0,0,64,0,0,1,0,64,32,64,82,31,63,64,0,0,75,0,127,73,107,64,0,1,0,11,64,0,0,90,31,1,2,92,64,49,73,67,64,64,64,64,0,0,12,74,1,5,1,76,11,0,2,1,75,4
elec piano,2,0,2,64,66,1,71,0,0,83,0,0,66,0,50,1,0,46,0,64,73,46,66,45,0,1,0,86,0,64,107,64,0,1,0,11,64,0,8,40,20,0,2,64,64,50,64,40,64,64,64,64,0,0,12,74,0,2,1,64,0,0,5,1,64,64
